Date,Open,High,Low,Close,Volume
"Feb 17, 2023",1594,1595,1575.5,1583.8,2.86M
"Feb 16, 2023",1600,1614.45,1597.85,1601.8,4.29M
"Feb 15, 2023",1584,1599,1576,1597.05,3.47M
"Feb 14, 2023",1584.7,1596,1578.15,1593.25,5.04M
"Feb 13, 2023",1597,1597,1566,1567.45,4.00M
"Feb 10, 2023",1612.95,1616.3,1596.45,1608.55,4.79M
"Feb 09, 2023",1596.2,1619.75,1586.05,1617,6.90M
"Feb 08, 2023",1565.5,1603,1565.5,1590.5,7.98M
"Feb 07, 2023",1569,1576.05,1555.1,1562.4,4.34M
"Feb 06, 2023",1598,1598,1561.6,1569.85,4.57M
"Feb 03, 2023",1597.5,1604.65,1573,1599.4,7.04M
"Feb 02, 2023",1552,1586.95,1552,1583.75,6.92M
"Feb 01, 2023",1542.2,1555.05,1528.05,1551.1,6.19M
"Jan 31, 2023",1548.9,1548.9,1513,1533.75,9.45M
"Jan 30, 2023",1528.8,1544,1520,1538.8,6.96M
"Jan 27, 2023",1546,1550.95,1507.4,1519.15,6.21M
"Jan 25, 2023",1547,1556,1538.75,1543,4.16M
"Jan 24, 2023",1560,1568.8,1549.75,1551.9,5.20M
"Jan 23, 2023",1535,1553.3,1528.1,1548,4.86M
"Jan 20, 2023",1538,1545,1524,1525.55,6.50M
"Jan 19, 2023",1539.9,1549.55,1526.15,1538.9,6.17M
"Jan 18, 2023",1544.75,1551.85,1539.6,1545.4,5.84M
"Jan 17, 2023",1527,1542.2,1524,1539.5,5.92M
"Jan 16, 2023",1510,1528,1502.3,1525.5,6.07M
"Jan 13, 2023",1483.5,1519.4,1468,1503.65,11.61M
"Jan 12, 2023",1481.95,1485,1455,1480.6,6.59M
"Jan 11, 2023",1470,1494,1464,1471.25,6.17M
"Jan 10, 2023",1482,1483.9,1454.05,1469.75,7.16M
"Jan 09, 2023",1448.2,1489.35,1448.2,1484.45,11.50M
"Jan 06, 2023",1470,1475,1446.5,1448.5,6.44M
"Jan 05, 2023",1505.9,1505.9,1469.25,1475.2,9.87M
"Jan 04, 2023",1521,1521,1491.1,1494.8,7.06M
"Jan 03, 2023",1519.85,1532.65,1515.1,1522.55,4.55M
"Jan 02, 2023",1514,1526.5,1504.05,1524,3.80M
"Dec 30, 2022",1528,1530.4,1504.05,1508.2,5.06M
"Dec 29, 2022",1504,1521.3,1501,1517.55,4.62M
"Dec 28, 2022",1505.1,1524.95,1498.5,1510.15,5.03M
"Dec 27, 2022",1509.95,1521.45,1497.5,1514.85,4.86M
"Dec 26, 2022",1500.5,1509.9,1496.35,1502.4,4.12M
"Dec 23, 2022",1508.7,1509.9,1493,1497.1,6.28M
"Dec 22, 2022",1521.5,1529.95,1511.75,1522.05,6.30M
"Dec 21, 2022",1515,1521,1502.35,1509.55,6.24M
"Dec 20, 2022",1501,1516,1482.45,1507.3,7.40M
"Dec 19, 2022",1507.95,1516.9,1495.05,1507.35,6.22M
"Dec 16, 2022",1525,1549.5,1512.05,1522.2,9.63M
"Dec 15, 2022",1569.3,1570,1535.25,1540.5,6.44M
"Dec 14, 2022",1582,1588.5,1573,1579.4,4.98M
"Dec 13, 2022",1547.2,1577.5,1541.15,1572.15,6.14M
"Dec 12, 2022",1550,1565.95,1530.05,1547.2,8.04M
"Dec 09, 2022",1628,1628,1561.1,1569.3,8.88M
"Dec 08, 2022",1605.5,1623.9,1598.5,1620.15,4.21M
"Dec 07, 2022",1608,1623.8,1596.7,1605.5,4.90M
"Dec 06, 2022",1625,1626,1607.55,1612.9,4.82M
"Dec 05, 2022",1638,1644.85,1623.3,1639.75,3.82M
"Dec 02, 2022",1656,1661.8,1633.95,1637.9,4.28M
"Dec 01, 2022",1656.2,1672.6,1652.3,1657.1,5.41M
"Nov 30, 2022",1619.95,1645.75,1613.15,1634.95,11.87M
"Nov 29, 2022",1621.2,1638.75,1615.05,1629.05,3.13M
"Nov 28, 2022",1628,1653.5,1620,1623.4,3.83M
"Nov 25, 2022",1631.4,1644,1613.8,1635.65,4.56M
"Nov 24, 2022",1589,1636,1584.75,1629.8,5.28M
"Nov 23, 2022",1588.9,1592,1579.3,1583.15,3.25M
"Nov 22, 2022",1569,1588,1562,1585.05,3.40M
"Nov 21, 2022",1582.1,1587.85,1564.05,1568.2,3.07M
"Nov 18, 2022",1591.7,1598,1575.5,1593.4,3.13M
"Nov 17, 2022",1597.2,1602.8,1582.95,1587.4,3.47M
"Nov 16, 2022",1597.15,1609,1593.5,1602.8,4.50M
"Nov 15, 2022",1577.85,1597.85,1572.75,1594,3.50M
"Nov 14, 2022",1575.15,1591.4,1568.45,1585.3,4.91M
"Nov 11, 2022",1546.65,1573.5,1546.65,1570.1,7.21M
"Nov 10, 2022",1485,1512,1485,1501.95,3.44M
"Nov 09, 2022",1529,1529,1501.1,1511.2,3.33M
"Nov 07, 2022",1521.4,1527.9,1491.1,1507.45,4.90M
